student_id,course_id,chapter,time_spent,score,completed
S1633,C1,6,45.72,36.21,0
S1330,C1,3,85.89,77.59,1
S3298,C1,4,87.83,77.71,1
S605,C1,7,90.57,70.18,1
S701,C2,5,86.0,100.0,1
S1699,C2,4,86.57,61.74,0
S611,C3,5,84.88,96.56,1
S178,C2,7,39.26,41.35,0
S1454,C1,2,31.07,18.89,0
S1830,C3,8,45.51,18.2,0
S1547,C3,4,90.4,65.52,1
S2116,C2,5,96.28,72.6,1
S1335,C2,8,5.0,50.76,0
S1689,C3,5,5.0,25.51,1
S1301,C3,2,97.91,68.02,1
S385,C1,6,67.44,76.49,1
S1856,C1,2,99.01,70.12,1
S3452,C2,7,48.43,68.93,1
S3478,C3,5,53.51,19.62,0
S942,C2,1,24.94,53.5,0
S389,C2,3,30.53,33.98,0
S3129,C1,3,131.02,72.21,1
S2627,C2,3,86.09,79.29,1
S1917,C1,8,21.76,45.48,0
S1950,C1,7,8.37,10.23,0
S2014,C1,6,61.96,69.72,1
S2066,C1,3,5.0,36.78,0
S1720,C3,5,74.66,0.0,0
S2835,C1,1,117.37,70.73,1
S451,C3,6,75.37,49.07,1
S1462,C1,7,105.05,55.94,1
S618,C2,2,59.97,57.01,1
S1891,C2,1,92.95,82.57,0
S3181,C1,6,91.15,46.47,1
S284,C2,2,25.81,13.71,0
S282,C3,8,101.7,74.31,1
S255,C2,4,101.48,76.22,1
S86,C2,3,19.21,24.45,0
S2075,C2,2,9.08,36.26,0
S1350,C2,2,69.77,65.04,1
S5,C2,7,22.74,19.58,0
S212,C3,7,49.28,18.9,0
S848,C2,2,106.45,62.44,1
S3284,C1,3,42.21,19.7,0
S1567,C2,7,14.54,16.42,0
S2335,C3,4,90.63,86.07,1
S2441,C2,3,104.56,84.54,1
S1025,C1,2,62.74,50.16,1
S3301,C3,6,64.35,66.02,0
S1541,C2,7,101.1,90.84,1
S1120,C3,8,76.36,49.0,1
S2240,C3,6,9.31,34.99,0
S1340,C2,3,51.73,28.8,0
S3155,C3,3,89.22,49.76,1
S1793,C3,4,6.28,25.02,0
S1907,C3,2,92.99,65.73,1
S1997,C1,4,24.69,58.93,0
S1128,C2,3,63.95,85.9,1
S2854,C1,5,13.36,24.42,0
S774,C3,2,94.5,88.91,0
S2566,C1,5,97.26,94.13,1
S424,C3,3,117.75,90.1,1
S2481,C1,1,39.1,12.49,0
S1593,C3,5,105.8,39.74,1
S2563,C3,6,48.6,31.93,0
S2358,C2,8,17.0,61.8,1
S1082,C2,4,57.05,31.11,0
S160,C1,3,54.14,46.95,1
S1832,C1,3,79.01,81.54,1
S2638,C3,4,47.11,27.6,0
S1390,C2,5,47.52,64.7,1
S2885,C1,1,39.85,98.66,0
S1266,C1,5,61.37,36.58,0
S2222,C3,3,88.6,86.45,1
S2942,C1,2,72.25,46.22,0
S2029,C1,8,30.88,22.9,0
S3386,C3,4,88.05,59.56,0
S1984,C3,3,71.9,87.43,1
S3020,C2,7,89.74,65.43,1
S2388,C1,8,59.25,65.03,1
S2484,C2,2,96.2,59.44,1
S457,C2,3,62.99,63.94,1
S225,C2,1,14.59,35.48,1
S1012,C3,2,32.73,10.93,0
S557,C1,4,110.25,43.88,1
S1974,C2,1,32.03,28.74,0
S576,C1,3,92.21,100.0,1
S2187,C2,8,38.98,21.57,0
S2497,C1,4,110.28,94.93,1
S3469,C1,6,90.43,90.03,1
S520,C1,6,36.69,29.65,0
S1780,C2,2,92.96,93.28,1
S1726,C3,8,87.51,59.61,1
S1728,C2,8,38.06,35.55,0
